Instrumen,Dimensi,Reverse
"Ramah, mau bergaul",Extraversion,0
"Berbelas kasih, suka menolong.",Agreeableness,0
"Cenderung tidak terorganisir, tidak sistematis dalam beraktivitas",Conscientiousness,1
"Tenang, mampu menangani stres dengan baik",Neuroticism,1
Hanya memiliki sedikit minat dan ketertarikan pada kesenian.,Openness,1
Berterus terang secara tegas,Extraversion,0
Memperlakukan orang lain dengan hormat,Agreeableness,0
Cenderung malas atau lamban ketika mengerjakan tugas,Conscientiousness,1
Tetap optimis ketika mengalami kegagalan atau kemunduran,Neuroticism,1
Ingin tahu mengenai banyak hal.,Openness,0
Jarang merasa penuh tenaga (energik) atau bersemangat,Extraversion,1
Cenderung mencari kesalahan orang lain. Cenderung mempermasalahkan kesalahan orang lain.,Agreeableness,1
"Dapat diandalkan untuk bekerja, konsisten, tekun",Conscientiousness,0
Memiliki suasana hati yang mudah berubah (naik-turun),Neuroticism,0
"Pandai berkreasi, mampu memikirkan banyak cara cerdas untuk melakukan sesuatu",Openness,0
Cenderung diam ketika bersama dengan orang lain,Extraversion,1
Memberikan sedikit kepedulian kepada orang lain,Agreeableness,1
"Runtut dan teratur,suka menjaga kerapian",Conscientiousness,0
Cenderung tegang (takut dan cemas),Neuroticism,0
"Mengagumi seni, musik, atau sastra",Openness,0
"Bersikap menguasai, bertindak seperti pemimpin",Extraversion,0
Memulai adu pendapat dengan orang lain,Agreeableness,1
Sulit memulai pengerjaan tugas,Conscientiousness,1
Merasa aman dan nyaman dengan diri sendiri,Neuroticism,1
"Menghindari perbincangan yang membutuhkan pemikiran mendalam, bersifat filosofis.",Openness,1
Kurang aktif bergerak dibandingkan orang-orang lain,Extraversion,1
Mudah memaafkan orang lain,Agreeableness,0
Dapat bertindak ceroboh,Conscientiousness,1
"Stabil secara emosional, tidak mudah marah",Neuroticism,0
Sulit menghasilkan solusi baru,Openness,1
"Terkadang merasa malu, cenderung menutup diri ketika bersama orang lain",Extraversion,1
Mudah menolong dan tidak mengutamakan kepentingan diri sendiri,Agreeableness,0
Menjaga kerapian dan keteraturan,Conscientiousness,0
Sering khawatir,Neuroticism,0
Menghargai seni dan keindahan,Openness,0
Merasa sulit memengaruhi orang lain,Extraversion,1
Terkadang berkata kasar dengan orang lain,Agreeableness,1
"Efisien, mampu menyelesaikan tugas",Conscientiousness,0
Sering merasa sedih,Neuroticism,0
Suka berpikir secara luas dan mendalam,Openness,0
Penuh tenaga dan semangat,Extraversion,0
Mencurigai adanya niat buruk dibalik perilaku orang lain,Agreeableness,1
Selalu dapat diandalkan*,Conscientiousness,0
Menjaga suasana hati tetap terkendali,Neuroticism,1
Kesulitan menghasilkan ide kreatif (baru dan bermanfaat),Openness,1
Suka berbincang-bincang,Extraversion,0
Dapat mengabaikan dan tidak peduli pada kondisi orang lain,Agreeableness,1
"Membiarkan kekacauan, tidak menjaga kerapian",Conscientiousness,1
Jarang cemas atau takut,Neuroticism,1
Beranggapan bahwa puisi dan drama adalah hal yang membosankan,Openness,1
Lebih suka membiarkan orang lain untuk mengambil keputusan,Extraversion,1
"Sopan, Santun terhadap orang lain",Agreeableness,0
"Gigih, menuntaskan pekerjaan",Conscientiousness,0
"Sering mengalami depresi, merasa sedih",Neuroticism,0
"Tidak suka berpikir abstrak (mendalam), lebih suka mencari solusi konkret (praktis).",Openness,1
Bersemangat tinggi,Extraversion,0
"Berbaik sangka, berprasangka baik kepada orang lain",Agreeableness,0
Terkadang kurang bertanggungjawab,Conscientiousness,1
"Temperamental, mudah tersinggung",Neuroticism,0
"Orisinal, mampu menghasilkan ide baru",Openness,0
